,end,head
0,"(880, 12)","(229, 12)"
1,"(880, 39)","(229, 39)"
2,"(880, 40)","(229, 40)"
3,"(1365, 49)","(0, 49)"
4,"(1365, 50)","(0, 50)"
5,"(1365, 51)","(0, 51)"
6,"(1365, 90)","(228, 90)"
7,"(1365, 91)","(228, 91)"
8,"(1365, 92)","(228, 92)"
9,"(1326, 100)","(270, 100)"
10,"(1326, 101)","(269, 101)"
11,"(1324, 137)","(272, 137)"
12,"(1324, 138)","(271, 138)"
13,"(1324, 178)","(271, 178)"
14,"(1326, 179)","(269, 179)"
15,"(1325, 488)","(271, 488)"
16,"(1327, 489)","(268, 489)"
17,"(1327, 490)","(268, 490)"
18,"(1328, 744)","(267, 744)"
19,"(1328, 745)","(267, 745)"
20,"(1328, 746)","(267, 746)"
21,"(1328, 981)","(267, 981)"
22,"(1328, 982)","(267, 982)"
23,"(1328, 983)","(267, 983)"
24,"(1328, 1219)","(267, 1219)"
25,"(1328, 1220)","(267, 1220)"
26,"(1328, 1221)","(267, 1221)"
27,"(1328, 1457)","(267, 1457)"
28,"(1328, 1458)","(267, 1458)"
29,"(1328, 1459)","(267, 1459)"
30,"(1328, 1695)","(267, 1695)"
31,"(1328, 1696)","(267, 1696)"
32,"(1328, 1697)","(267, 1697)"
33,"(1328, 1947)","(267, 1947)"
34,"(1328, 1948)","(267, 1948)"
35,"(1328, 1949)","(267, 1949)"
36,"(1328, 2185)","(267, 2185)"
37,"(1328, 2186)","(267, 2186)"
38,"(1328, 2187)","(267, 2187)"
39,"(1328, 2492)","(268, 2492)"
40,"(1365, 2540)","(228, 2540)"
41,"(1365, 2541)","(228, 2541)"
42,"(1365, 2542)","(228, 2542)"
43,"(1336, 2601)","(260, 2601)"
44,"(1336, 2602)","(259, 2602)"
45,"(1336, 2603)","(259, 2603)"
